TIME,Temperature,Pressure,Altitude
50:23.3,36.2,996.93,136.77
50:25.3,36.2,996.93,136.78
50:27.4,36.21,996.93,136.8
50:29.4,36.21,996.92,136.89
50:31.4,36.22,996.91,136.93
50:33.4,36.23,996.9,137.03
50:35.4,36.24,996.89,137.07
50:37.4,36.23,996.89,137.1
50:39.4,36.21,996.89,137.09
50:41.4,36.19,996.89,137.11
50:43.5,36.17,996.89,137.09
50:45.5,36.15,996.89,137.09
50:47.5,36.14,996.9,137.02
50:49.5,36.12,996.9,137.02
50:51.5,36.1,996.9,137
50:53.5,36.08,996.91,136.97
50:55.5,36.06,996.9,137.01
50:57.5,36.04,996.9,137
50:59.5,36.04,996.9,136.98
51:01.6,36.02,996.91,136.94
51:03.6,36,996.91,136.96
51:05.6,35.98,996.9,137.03
51:07.6,35.98,996.89,137.07
51:09.6,35.98,996.89,137.14
51:11.6,35.99,996.88,137.17
51:13.6,36.01,996.88,137.19
51:15.6,36.03,996.88,137.18
51:17.6,36.02,996.88,137.23
51:19.7,36.01,996.88,137.2
51:21.7,36.02,996.88,137.22
51:23.7,36.02,996.88,137.21
51:25.7,36.02,996.88,137.21
51:27.7,36.01,996.87,137.28
51:29.7,36.01,996.87,137.27
51:31.7,36,996.87,137.27
51:33.7,36,996.88,137.23
51:35.7,35.99,996.87,137.25
51:37.8,35.99,996.87,137.25
51:39.8,36.01,996.87,137.27
51:41.8,36.03,996.87,137.26
51:43.8,36.05,996.87,137.29
51:45.8,36.05,996.86,137.36
51:47.8,36.02,996.85,137.41
51:49.8,35.99,996.85,137.44
51:51.8,35.96,996.85,137.44
51:53.8,35.93,996.85,137.43
51:55.9,35.9,996.85,137.49
51:57.9,35.87,996.84,137.55
51:59.9,35.84,996.83,137.6
52:01.9,35.81,996.83,137.62
52:03.9,35.79,996.82,137.67
52:05.9,35.78,996.82,137.69
52:07.9,35.78,996.82,137.64
52:09.9,35.77,996.83,137.65
52:11.9,35.76,996.82,137.66
52:14.0,35.76,996.83,137.65
52:16.0,35.75,996.83,137.6
52:18.0,35.74,996.83,137.64
52:20.0,35.73,996.83,137.64
52:22.0,35.73,996.82,137.68
52:24.0,35.72,996.82,137.71
52:26.0,35.72,996.83,137.65
52:28.0,35.73,996.82,137.67
52:30.0,35.74,996.82,137.68
52:32.1,35.74,996.83,137.64
52:34.1,35.74,996.83,137.62
52:36.1,35.75,996.83,137.61
52:38.1,35.75,996.83,137.58
52:40.1,35.76,996.84,137.55
52:42.1,35.77,996.84,137.56
52:44.1,35.78,996.84,137.55
52:46.1,35.78,996.84,137.56
52:48.1,35.79,996.84,137.56
52:50.2,35.8,996.84,137.54
52:52.2,35.81,996.84,137.53
52:54.2,35.82,996.85,137.49
52:56.2,35.84,996.84,137.51
52:58.2,35.87,996.84,137.55
53:00.2,35.88,996.84,137.54
53:02.2,35.87,996.84,137.54
53:04.2,35.85,996.84,137.54
53:06.2,35.82,996.85,137.46
53:08.3,35.79,996.86,137.37
53:10.3,35.76,996.87,137.3
53:12.3,35.74,996.87,137.28
53:14.3,35.73,996.87,137.28
53:16.3,35.73,996.86,137.34
53:18.3,35.74,996.86,137.38
53:20.3,35.76,996.84,137.49
53:22.3,35.78,996.84,137.5
53:24.4,35.82,996.84,137.54
53:26.4,35.84,996.84,137.54
53:28.4,35.87,996.84,137.51
53:30.4,35.89,996.84,137.52
53:32.4,35.92,996.85,137.47
53:34.4,35.95,996.85,137.47
53:36.4,35.97,996.85,137.43
53:38.4,35.99,996.85,137.46
53:40.4,36.01,996.85,137.44
53:42.5,36.02,996.86,137.37
53:44.5,36.04,996.87,137.25
53:46.5,36.06,996.88,137.2
53:48.5,36.08,996.88,137.22
53:50.5,36.11,996.87,137.28
53:52.5,36.14,996.86,137.37
53:54.5,36.16,996.87,137.26
53:56.5,36.16,996.88,137.17
53:58.5,36.15,996.89,137.12
54:00.6,36.13,996.89,137.07
54:02.6,36.07,996.9,137.07
54:04.6,36.03,996.9,137.06
54:06.6,35.97,996.89,137.12
54:08.6,35.91,996.89,137.14
54:10.6,35.82,996.88,137.16
54:12.6,35.73,996.88,137.19
54:14.6,35.61,996.88,137.23
54:16.6,35.48,996.86,137.33
54:18.6,35.37,996.84,137.5
54:20.7,35.23,996.81,137.79
54:22.7,35.11,996.79,137.99
54:24.7,34.96,996.75,138.31
54:26.7,34.86,996.72,138.57
54:28.7,34.74,996.69,138.81
54:30.7,34.65,996.67,138.95
54:32.7,34.55,996.65,139.17
54:34.7,34.46,996.63,139.27
54:36.7,34.4,996.63,139.32
54:38.8,34.33,996.62,139.41
54:40.8,34.28,996.61,139.46
54:42.8,34.22,996.6,139.56
54:44.8,34.18,996.59,139.65
54:46.8,34.12,996.59,139.66
54:48.8,34.09,996.59,139.64
54:50.8,34.04,996.6,139.59
54:52.8,34,996.6,139.59
54:54.9,33.96,996.59,139.59
54:55.1,33.9,996.45,140.6
54:55.1,33.8,996.47,140.61
54:57.1,33.86,996.47,140.66
54:59.1,33.83,996.45,140.78
55:01.1,33.82,996.45,140.81
55:03.1,33.8,996.45,140.85
55:05.1,33.79,996.44,140.91
55:07.2,33.78,996.43,140.95
55:09.2,33.77,996.43,140.97
55:11.2,33.76,996.42,141.08
55:13.2,33.75,996.42,141.06
55:15.2,33.74,996.42,141.09
55:17.2,33.74,996.42,141.04
55:19.2,33.73,996.42,141.08
55:21.2,33.73,996.43,141.01
55:23.2,33.74,996.43,140.97
55:25.3,33.75,996.44,140.93
55:27.3,33.77,996.44,140.88
55:29.3,33.79,996.44,140.91
55:31.3,33.8,996.43,140.96
55:33.3,33.82,996.43,140.99
55:35.3,33.84,996.43,140.99
55:37.3,33.86,996.43,141.03
55:39.3,33.89,996.42,141.05
55:41.3,33.92,996.43,141.03
55:43.4,33.95,996.43,141.02
55:45.4,33.97,996.43,140.95
55:47.4,34.01,996.44,140.93
55:49.4,34.03,996.44,140.89
55:51.4,34.06,996.43,140.96
55:53.4,34.09,996.42,141.06
55:55.4,34.11,996.42,141.11
55:57.4,34.14,996.43,141.01
55:59.4,34.16,996.44,140.95
56:01.4,34.18,996.44,140.94
56:03.5,34.19,996.44,140.91
56:05.5,34.21,996.45,140.85
56:07.5,34.22,996.45,140.86
56:09.5,34.24,996.45,140.79
56:11.5,34.26,996.45,140.81
56:13.5,34.27,996.45,140.82
56:15.5,34.28,996.45,140.84
56:17.5,34.3,996.45,140.8
56:19.6,34.31,996.46,140.77
56:21.6,34.32,996.46,140.75
56:23.6,34.33,996.46,140.72
56:25.6,34.34,996.47,140.66
56:27.6,34.35,996.48,140.58
56:29.6,34.35,996.48,140.58
56:31.6,34.37,996.48,140.54
56:33.6,34.38,996.48,140.56
56:35.6,34.39,996.48,140.56
56:37.7,34.4,996.48,140.53
56:39.7,34.41,996.48,140.54
56:41.7,34.41,996.49,140.52
56:43.7,34.42,996.49,140.52
56:45.7,34.42,996.48,140.56
56:47.7,34.42,996.48,140.59
56:49.7,34.42,996.48,140.58
56:51.7,34.42,996.47,140.63
56:53.7,34.43,996.47,140.63
56:55.7,34.43,996.47,140.64
56:57.8,34.44,996.47,140.67
56:59.8,34.45,996.46,140.72
57:01.8,34.45,996.46,140.75
57:03.8,34.45,996.46,140.74
57:05.8,34.45,996.46,140.77
57:07.8,34.45,996.45,140.82
57:09.8,34.45,996.44,140.91
57:11.8,34.45,996.44,140.95
57:13.8,34.44,996.43,141
57:15.9,34.44,996.42,141.04
57:17.9,34.43,996.42,141.08
57:19.9,34.43,996.42,141.11
57:21.9,34.42,996.41,141.13
57:23.9,34.42,996.41,141.19
57:25.9,34.41,996.41,141.18
57:27.9,34.41,996.41,141.2
57:29.9,34.41,996.4,141.25
57:31.9,34.4,996.4,141.27
57:34.0,34.4,996.4,141.27
57:36.0,34.39,996.4,141.28
57:38.0,34.38,996.39,141.3
57:40.0,34.38,996.39,141.32
57:42.0,34.37,996.38,141.37
57:44.0,34.36,996.38,141.41
57:46.0,34.36,996.38,141.41
57:48.0,34.35,996.37,141.48
57:50.1,34.34,996.37,141.52
57:52.1,34.33,996.36,141.54
57:54.1,34.32,996.36,141.61
57:56.1,34.31,996.36,141.6
57:58.1,34.31,996.36,141.59
58:00.1,34.3,996.35,141.66
58:02.1,34.29,996.34,141.71
58:04.1,34.29,996.34,141.74
58:06.1,34.28,996.33,141.81
58:08.2,34.28,996.33,141.83
58:10.2,34.27,996.33,141.86
58:12.2,34.27,996.32,141.9
58:14.2,34.26,996.32,141.92
58:16.2,34.26,996.32,141.9
58:18.2,34.25,996.32,141.92
58:20.2,34.25,996.32,141.93
58:22.2,34.25,996.32,141.91
58:24.2,34.24,996.31,141.96
58:26.3,34.24,996.3,142.08
58:28.3,34.24,996.27,142.31
58:30.3,34.23,996.25,142.49
58:32.3,34.23,996.22,142.73
58:34.3,34.23,996.19,143
58:36.3,34.22,996.16,143.24
58:38.3,34.22,996.15,143.34
58:40.3,34.21,996.14,143.47
58:42.3,34.21,996.13,143.49
58:44.3,34.21,996.13,143.55
58:46.4,34.21,996.12,143.63
58:48.4,34.21,996.11,143.68
58:50.4,34.21,996.11,143.68
58:52.4,34.21,996.11,143.72
58:54.4,34.21,996.1,143.74
58:56.4,34.2,996.11,143.72
58:58.4,34.2,996.11,143.68
59:00.4,34.2,996.11,143.68
59:02.4,34.2,996.11,143.68
59:04.5,34.19,996.11,143.67
59:06.5,34.19,996.11,143.66
59:08.5,34.18,996.12,143.63
59:10.5,34.17,996.11,143.65
59:12.5,34.17,996.11,143.71
59:14.5,34.16,996.1,143.76
59:16.5,34.16,996.1,143.78
59:18.5,34.15,996.1,143.79
59:20.6,34.15,996.09,143.83
59:22.6,34.15,996.1,143.76
59:24.6,34.16,996.11,143.69
59:26.6,34.16,996.11,143.68
59:28.6,34.17,996.11,143.66
59:30.6,34.18,996.12,143.63
59:32.6,34.18,996.12,143.61
59:34.6,34.19,996.12,143.58
59:36.7,34.2,996.13,143.53
59:38.7,34.2,996.13,143.51
59:40.7,34.21,996.13,143.53
59:42.7,34.21,996.13,143.52
59:44.7,34.22,996.13,143.53
59:46.7,34.22,996.13,143.56
59:48.7,34.22,996.13,143.55
59:50.7,34.23,996.13,143.53
59:52.7,34.23,996.12,143.59
59:54.7,34.23,996.12,143.6
59:56.8,34.23,996.12,143.59
59:58.8,34.23,996.12,143.58
00:00.8,34.23,996.13,143.56
00:02.8,34.23,996.13,143.55
00:04.8,34.23,996.13,143.5
00:06.8,34.23,996.13,143.5
00:08.8,34.23,996.13,143.48
00:10.8,34.23,996.13,143.51
00:12.8,34.22,996.13,143.54
00:14.9,34.22,996.13,143.54
00:16.9,34.22,996.13,143.53
00:18.9,34.22,996.13,143.54
00:20.9,34.21,996.12,143.57
00:22.9,34.21,996.12,143.61
00:24.9,34.21,996.12,143.61
00:26.9,34.21,996.12,143.61
00:28.9,34.2,996.11,143.65
00:31.0,34.2,996.12,143.6
00:33.0,34.2,996.13,143.56
00:35.0,34.2,996.13,143.52
00:37.0,34.2,996.14,143.47
00:39.0,34.21,996.14,143.44
00:41.0,34.21,996.15,143.39
00:43.0,34.21,996.15,143.34
00:45.0,34.21,996.16,143.3
00:47.0,34.21,996.16,143.26
00:49.1,34.21,996.16,143.25
00:51.1,34.22,996.17,143.16
00:53.1,34.22,996.17,143.17
00:55.1,34.24,996.18,143.14
00:57.1,34.25,996.17,143.18
00:59.1,34.26,996.17,143.22
01:01.1,34.27,996.16,143.22
01:03.1,34.28,996.15,143.32
01:05.1,34.29,996.15,143.33
01:07.2,34.3,996.15,143.32
01:09.2,34.31,996.15,143.36
01:11.2,34.31,996.15,143.32
01:13.2,34.32,996.15,143.31
01:15.2,34.33,996.15,143.37
01:17.2,34.34,996.15,143.34
01:19.2,34.34,996.15,143.39
01:21.2,34.35,996.14,143.4
01:23.2,34.35,996.15,143.39
01:25.3,34.35,996.14,143.46
01:27.3,34.36,996.14,143.42
01:29.3,34.36,996.14,143.42
01:31.3,34.36,996.14,143.4
01:33.3,34.36,996.15,143.39
01:35.3,34.36,996.15,143.35
01:37.3,34.35,996.15,143.38
01:39.3,34.35,996.14,143.43
01:41.3,34.34,996.14,143.47
01:43.4,34.34,996.13,143.51
01:45.4,34.34,996.14,143.48
01:47.4,34.33,996.14,143.48
01:49.4,34.33,996.14,143.47
01:51.4,34.32,996.13,143.52
01:53.4,34.32,996.13,143.57
01:55.4,34.31,996.12,143.59
01:57.4,34.31,996.11,143.66
01:59.4,34.3,996.11,143.71
02:01.5,34.3,996.1,143.74
02:03.5,34.29,996.1,143.78
02:05.5,34.29,996.1,143.8
02:07.5,34.28,996.1,143.81
02:09.5,34.28,996.09,143.84
02:11.5,34.27,996.09,143.87
02:13.5,34.26,996.09,143.88
02:15.5,34.26,996.08,143.9
02:17.5,34.25,996.08,143.9
02:19.6,34.24,996.08,143.93
02:21.6,34.22,996.08,143.92
02:23.6,34.21,996.09,143.84
02:25.6,34.2,996.1,143.81
02:27.6,34.19,996.1,143.81
02:29.6,34.17,996.1,143.79
02:31.6,34.16,996.1,143.8
02:33.6,34.15,996.1,143.79
02:35.6,34.14,996.1,143.75
02:37.7,34.13,996.1,143.79
02:39.7,34.12,996.1,143.73
02:41.7,34.12,996.1,143.73
02:43.7,34.12,996.11,143.72
02:45.7,34.12,996.11,143.69
02:47.7,34.12,996.11,143.66
02:49.7,34.12,996.11,143.67
02:51.7,34.12,996.12,143.62
02:53.7,34.12,996.12,143.59
02:55.8,34.13,996.12,143.59
02:57.8,34.14,996.13,143.54
02:59.8,34.15,996.13,143.5
03:01.8,34.16,996.13,143.49
03:03.8,34.17,996.13,143.5
03:05.8,34.18,996.13,143.51
03:07.8,34.19,996.14,143.48
03:09.8,34.2,996.13,143.5
03:11.8,34.22,996.13,143.53
03:13.9,34.23,996.12,143.58
03:15.9,34.24,996.12,143.59
03:17.9,34.25,996.12,143.63
03:19.9,34.27,996.12,143.64
03:21.9,34.28,996.12,143.64
03:23.9,34.29,996.12,143.61
03:25.9,34.3,996.12,143.62
03:27.9,34.31,996.13,143.54
03:29.9,34.32,996.13,143.49
03:32.0,34.33,996.13,143.53
03:34.0,34.33,996.13,143.51
03:36.0,34.34,996.13,143.53
03:38.0,34.35,996.14,143.48
03:40.0,34.35,996.13,143.51
03:42.0,34.36,996.13,143.52
03:44.0,34.37,996.13,143.55
03:46.0,34.37,996.11,143.67
03:48.0,34.38,996.1,143.73
03:50.1,34.39,996.1,143.76
03:52.1,34.39,996.1,143.8
03:54.1,34.4,996.09,143.85
03:56.1,34.4,996.09,143.89
03:58.1,34.41,996.08,143.96
04:00.1,34.41,996.07,144.02
04:02.1,34.41,996.06,144.08
04:04.1,34.42,996.06,144.14
04:06.1,34.42,996.06,144.14
04:08.1,34.42,996.06,144.13
04:10.2,34.42,996.06,144.09
04:12.2,34.42,996.07,144.06
04:14.2,34.41,996.07,144.05
04:16.2,34.41,996.07,144.06
04:18.2,34.41,996.07,144.02
04:20.2,34.41,996.07,144
04:22.2,34.41,996.07,144
04:24.2,34.41,996.07,144.02
04:26.3,34.41,996.06,144.09
04:28.3,34.41,996.06,144.11
04:30.3,34.41,996.06,144.14
04:32.3,34.41,996.05,144.19
04:34.3,34.41,996.05,144.17
04:36.3,34.41,996.06,144.14
04:38.3,34.41,996.05,144.17
04:40.3,34.41,996.05,144.23
04:42.3,34.41,996.04,144.27
04:44.4,34.41,996.04,144.27
04:46.4,34.41,996.04,144.3
04:48.4,34.41,996.03,144.33
04:50.4,34.41,996.03,144.38
04:52.4,34.41,996.02,144.46
04:54.4,34.4,996.02,144.47
04:56.4,34.4,996.02,144.49
04:58.4,34.39,996.01,144.56
05:00.4,34.38,996.01,144.56
05:02.4,34.38,996.01,144.56
05:04.5,34.37,996.02,144.46
05:06.5,34.37,996.03,144.39
05:08.5,34.36,996.03,144.4
05:10.5,34.36,996.03,144.4
05:12.5,34.35,996.02,144.47
05:14.5,34.34,996.02,144.45
05:16.5,34.33,996.03,144.37
05:18.5,34.33,996.04,144.28
05:20.6,34.32,996.04,144.25
05:22.6,34.32,996.05,144.21
05:24.6,34.32,996.06,144.13
05:26.6,34.31,996.06,144.08
05:28.6,34.31,996.07,144.07
05:30.6,34.31,996.06,144.08
05:32.6,34.31,996.07,144.04
05:34.6,34.3,996.07,144.05
05:36.6,34.3,996.06,144.12
05:38.7,34.3,996.06,144.15
05:40.7,34.3,996.05,144.17
05:42.7,34.29,996.05,144.22
05:44.7,34.29,996.04,144.25
05:46.7,34.29,996.05,144.22
05:48.7,34.29,996.04,144.24
05:50.7,34.29,996.05,144.22
05:52.7,34.29,996.05,144.2
05:54.7,34.29,996.05,144.23
05:56.8,34.3,996.05,144.21
05:58.8,34.3,996.05,144.24
06:00.8,34.3,996.05,144.2
06:02.8,34.3,996.05,144.17
06:04.8,34.3,996.06,144.12
06:06.8,34.3,996.05,144.16
06:08.8,34.3,996.06,144.08
06:10.8,34.3,996.07,144.05
06:12.8,34.3,996.07,143.99
06:14.9,34.3,996.07,144.04
06:16.9,34.3,996.07,144.01
06:18.9,34.3,996.07,144.06
06:20.9,34.3,996.07,144.07
06:22.9,34.3,996.06,144.1
06:24.9,34.3,996.05,144.19
06:26.9,34.3,996.05,144.2
06:28.9,34.3,996.05,144.16
06:30.9,34.3,996.06,144.08
06:33.0,34.31,996.07,144.03
06:35.0,34.31,996.07,144.03
06:37.0,34.31,996.08,143.98
06:39.0,34.31,996.09,143.9
06:41.0,34.3,996.09,143.89
06:43.0,34.3,996.09,143.87
06:45.0,34.3,996.09,143.82
06:47.0,34.31,996.09,143.85
06:49.1,34.32,996.09,143.9
06:51.1,34.33,996.08,143.91
06:53.1,34.34,996.07,144.02
06:55.1,34.35,996.06,144.1
06:57.1,34.36,996.05,144.21
06:59.1,34.37,996.04,144.25
07:01.1,34.38,996.01,144.51
